year,region,sport,sport category,medal
1936,Estonia,Athletics,Multi-Discipline,
1998,Estonia,Cross Country Skiing,Skiing Events,
1998,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2004,Estonia,Athletics,Multi-Discipline,
2008,Estonia,Athletics,Multi-Discipline,
1992,Estonia,Wrestling,Combat Sports,
1996,Estonia,Wrestling,Combat Sports,
2016,Azerbaijan,Taekwondo,Combat Sports,Bronze
2008,Russia,Athletics,Multi-Discipline,Silver
2012,Russia,Athletics,Multi-Discipline,
2004,Belarus,Canoeing,Paddling Sports,
2008,Belarus,Canoeing,Paddling Sports,Gold
1964,Georgia,Wrestling,Combat Sports,
1980,Georgia,Athletics,Multi-Discipline,
2004,Russia,Cycling,Cycling,Silver
2004,Russia,Cycling,Cycling,
2008,Azerbaijan,Athletics,Multi-Discipline,
2008,Azerbaijan,Swimming,Aquatics,
2000,Azerbaijan,Weightlifting,Miscellaneous,
2016,Kazakhstan,Boxing,Combat Sports,
1972,Russia,Wrestling,Combat Sports,Gold
2016,Azerbaijan,Boxing,Combat Sports,
1996,Azerbaijan,Wrestling,Combat Sports,
2000,Azerbaijan,Wrestling,Combat Sports,
1996,Uzbekistan,Boxing,Combat Sports,
2000,Uzbekistan,Boxing,Combat Sports,Gold
2012,Uzbekistan,Wrestling,Combat Sports,
2016,Uzbekistan,Wrestling,Combat Sports,
1996,Azerbaijan,Wrestling,Combat Sports,Silver
2000,Azerbaijan,Wrestling,Combat Sports,Gold
2004,Azerbaijan,Wrestling,Combat Sports,
2012,Azerbaijan,Athletics,Multi-Discipline,
2008,Azerbaijan,Wrestling,Combat Sports,
2004,Uzbekistan,Boxing,Combat Sports,
2008,Kyrgyzstan,Taekwondo,Combat Sports,
2012,Kyrgyzstan,Taekwondo,Combat Sports,
2016,Uzbekistan,Wrestling,Combat Sports,
2016,Tajikistan,Judo,Combat Sports,
2016,Russia,Boxing,Combat Sports,
2004,Tajikistan,Wrestling,Combat Sports,
2008,Tajikistan,Wrestling,Combat Sports,Silver
2012,Tajikistan,Wrestling,Combat Sports,
1992,Russia,Athletics,Multi-Discipline,Gold
2000,Uzbekistan,Athletics,Multi-Discipline,
1988,Uzbekistan,Cycling,Cycling,
1996,Uzbekistan,Cycling,Cycling,
2004,Kyrgyzstan,Boxing,Combat Sports,
2016,Armenia,Boxing,Combat Sports,
2008,Kazakhstan,Judo,Combat Sports,
2008,Russia,Athletics,Multi-Discipline,
2004,Azerbaijan,Boxing,Combat Sports,
2002,Ukraine,Freestyle Skiing,Skiing Events,
2006,Ukraine,Freestyle Skiing,Skiing Events,
2010,Ukraine,Freestyle Skiing,Skiing Events,
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,Bronze
2012,Russia,Gymnastics,Gymnastics,Silver
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Silver
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Silver
2016,Russia,Gymnastics,Gymnastics,Bronze
1972,Russia,Swimming,Aquatics,
1972,Russia,Swimming,Aquatics,Silver
1972,Russia,Swimming,Aquatics,Bronze
1972,Russia,Swimming,Aquatics,
1998,Latvia,Alpine Skiing,Skiing Events,
2014,Latvia,Alpine Skiing,Skiing Events,
2014,Latvia,Alpine Skiing,Skiing Events,
2014,Latvia,Alpine Skiing,Skiing Events,
2006,Georgia,Alpine Skiing,Skiing Events,
2006,Georgia,Alpine Skiing,Skiing Events,
2010,Georgia,Alpine Skiing,Skiing Events,
2010,Georgia,Alpine Skiing,Skiing Events,
2014,Georgia,Alpine Skiing,Skiing Events,
2014,Georgia,Alpine Skiing,Skiing Events,
2016,Belarus,Athletics,Multi-Discipline,
2006,Ukraine,Freestyle Skiing,Skiing Events,
2010,Ukraine,Freestyle Skiing,Skiing Events,
2014,Ukraine,Freestyle Skiing,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
1996,Georgia,Rhythmic Gymnastics,Gymnastics,
1994,Georgia,Alpine Skiing,Skiing Events,
1998,Georgia,Alpine Skiing,Skiing Events,
1960,Russia,Boxing,Combat Sports,
2008,Russia,Archery,Target Sports,
2008,Russia,Archery,Target Sports,
1964,Russia,Athletics,Multi-Discipline,
2004,Russia,Volleyball,Team Sports,Bronze
1994,Russia,Ice Hockey,Skating,
1980,Russia,Athletics,Multi-Discipline,
1988,Russia,Swimming,Aquatics,
1988,Russia,Swimming,Aquatics,
1964,Russia,Volleyball,Team Sports,Silver
2006,Russia,Speed Skating,Skating,
2006,Russia,Speed Skating,Skating,
2006,Russia,Speed Skating,Skating,Bronze
2010,Russia,Speed Skating,Skating,
2010,Russia,Bobsleigh,Sliding,
2010,Russia,Bobsleigh,Sliding,
2016,Georgia,Athletics,Multi-Discipline,
2016,Russia,Triathlon,Multi-Discipline,
2000,Russia,Basketball,Team Sports,
2008,Russia,Basketball,Team Sports,Bronze
1980,Russia,Wrestling,Combat Sports,Gold
2002,Russia,Figure Skating,Skating,
1996,Kazakhstan,Boxing,Combat Sports,
1976,Russia,Fencing,Miscellaneous,
1976,Russia,Fencing,Miscellaneous,
1980,Russia,Fencing,Miscellaneous,
1980,Russia,Fencing,Miscellaneous,Bronze
1980,Russia,Wrestling,Combat Sports,Gold
2008,Kazakhstan,Boxing,Combat Sports,
2012,Kazakhstan,Boxing,Combat Sports,
2008,Russia,Triathlon,Multi-Discipline,
2012,Russia,Triathlon,Multi-Discipline,
1964,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,Bronze
2016,Turkmenistan,Boxing,Combat Sports,
2012,Russia,Athletics,Multi-Discipline,
2008,Armenia,Wrestling,Combat Sports,
1912,Russia,Sailing,Water Sports,
2000,Lithuania,Basketball,Team Sports,Bronze
2004,Lithuania,Wrestling,Combat Sports,
2016,Lithuania,Rowing,Paddling Sports,
2004,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
2008,Ukraine,Swimming,Aquatics,
2008,Ukraine,Swimming,Aquatics,
2002,Kazakhstan,Ice Hockey,Skating,
2016,Kyrgyzstan,Boxing,Combat Sports,
2008,Kazakhstan,Handball,Team Sports,
1996,Ukraine,Wrestling,Combat Sports,
2000,Ukraine,Wrestling,Combat Sports,
1912,Russia,Modern Pentathlon,Multi-Discipline,
1996,Russia,Athletics,Multi-Discipline,
1968,Russia,Sailing,Water Sports,
2008,Russia,Gymnastics,Gymnastics,
2008,Russia,Gymnastics,Gymnastics,
2008,Russia,Gymnastics,Gymnastics,
2008,Russia,Gymnastics,Gymnastics,
2008,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,Silver
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,
1996,Russia,Athletics,Multi-Discipline,
2002,Russia,Ice Hockey,Skating,Bronze
2006,Russia,Ice Hockey,Skating,
2010,Russia,Ice Hockey,Skating,
1972,Russia,Athletics,Multi-Discipline,
1992,Russia,Diving,Aquatics,
2016,Russia,Equestrianism,Equestrianism,
1996,Uzbekistan,Swimming,Aquatics,
2000,Uzbekistan,Swimming,Aquatics,
2004,Uzbekistan,Swimming,Aquatics,
2006,Uzbekistan,Figure Skating,Skating,
1964,Russia,Athletics,Multi-Discipline,
1968,Russia,Athletics,Multi-Discipline,
2004,Azerbaijan,Wrestling,Combat Sports,
1996,Azerbaijan,Wrestling,Combat Sports,
1956,Russia,Water Polo,Team Sports,Bronze
1960,Russia,Water Polo,Team Sports,Silver
1964,Russia,Water Polo,Team Sports,Bronze
2004,Armenia,Wrestling,Combat Sports,
2016,Armenia,Athletics,Multi-Discipline,
1972,Russia,Shooting,Target Sports,
2008,Estonia,Sailing,Water Sports,
2012,Estonia,Sailing,Water Sports,
1912,Russia,Athletics,Multi-Discipline,
2012,Lithuania,Athletics,Multi-Discipline,
2016,Lithuania,Athletics,Multi-Discipline,
2004,Kazakhstan,Athletics,Multi-Discipline,
2008,Kazakhstan,Athletics,Multi-Discipline,
2000,Ukraine,Shooting,Target Sports,
2000,Ukraine,Shooting,Target Sports,
2000,Ukraine,Shooting,Target Sports,
2004,Ukraine,Shooting,Target Sports,
2004,Ukraine,Shooting,Target Sports,
2004,Ukraine,Shooting,Target Sports,
2008,Ukraine,Shooting,Target Sports,
2008,Ukraine,Shooting,Target Sports,
2008,Ukraine,Shooting,Target Sports,Gold
2012,Ukraine,Shooting,Target Sports,
2012,Ukraine,Shooting,Target Sports,
2012,Ukraine,Shooting,Target Sports,
1996,Russia,Swimming,Aquatics,
1996,Russia,Swimming,Aquatics,
2004,Uzbekistan,Judo,Combat Sports,
1928,Lithuania,Athletics,Multi-Discipline,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
2016,Ukraine,Canoeing,Paddling Sports,
1980,Russia,Volleyball,Team Sports,Gold
1998,Russia,Biathlon,Skiing Events,
1998,Russia,Biathlon,Skiing Events,
1998,Russia,Biathlon,Skiing Events,Silver
2002,Russia,Biathlon,Skiing Events,
2002,Russia,Biathlon,Skiing Events,Bronze
2006,Russia,Biathlon,Skiing Events,
2006,Russia,Biathlon,Skiing Events,Bronze
2006,Russia,Biathlon,Skiing Events,
2006,Russia,Biathlon,Skiing Events,Bronze
2006,Russia,Biathlon,Skiing Events,Gold
1996,Uzbekistan,Wrestling,Combat Sports,
2000,Uzbekistan,Wrestling,Combat Sports,
1996,Kazakhstan,Judo,Combat Sports,
1996,Kazakhstan,Judo,Combat Sports,
2016,Uzbekistan,Boxing,Combat Sports,Bronze
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2012,Russia,Fencing,Miscellaneous,
2012,Russia,Fencing,Miscellaneous,
2016,Russia,Fencing,Miscellaneous,
2016,Russia,Fencing,Miscellaneous,Gold
2008,Russia,Wrestling,Combat Sports,Silver
1996,Belarus,Wrestling,Combat Sports,
1996,Uzbekistan,Shooting,Target Sports,
1996,Uzbekistan,Shooting,Target Sports,
1980,Russia,Hockey,Miscellaneous,Bronze
1996,Kazakhstan,Diving,Aquatics,
2000,Kazakhstan,Diving,Aquatics,
1998,Georgia,Alpine Skiing,Skiing Events,
2002,Georgia,Alpine Skiing,Skiing Events,
2002,Georgia,Alpine Skiing,Skiing Events,
2000,Kyrgyzstan,Weightlifting,Miscellaneous,
2004,Kazakhstan,Weightlifting,Miscellaneous,
2008,Kazakhstan,Weightlifting,Miscellaneous,
1972,Ukraine,Athletics,Multi-Discipline,
1960,Russia,Rowing,Paddling Sports,Bronze
1980,Russia,Athletics,Multi-Discipline,
1988,Russia,Athletics,Multi-Discipline,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
1912,Russia,Gymnastics,Gymnastics,
1972,Russia,Water Polo,Team Sports,Gold
1912,Russia,Football,Team Sports,
1980,Russia,Water Polo,Team Sports,Gold
2004,Russia,Weightlifting,Miscellaneous,Silver
2008,Russia,Weightlifting,Miscellaneous,Bronze
2000,Russia,Water Polo,Team Sports,Bronze
1912,Russia,Wrestling,Combat Sports,
1992,Russia,Weightlifting,Miscellaneous,Silver
2008,Russia,Swimming,Aquatics,
2008,Russia,Swimming,Aquatics,
2008,Russia,Swimming,Aquatics,
2008,Russia,Swimming,Aquatics,
1976,Ukraine,Athletics,Multi-Discipline,
1976,Ukraine,Athletics,Multi-Discipline,Bronze
2008,Kazakhstan,Boxing,Combat Sports,
1976,Russia,Athletics,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,Bronze
1980,Russia,Athletics,Multi-Discipline,
1980,Russia,Athletics,Multi-Discipline,Gold
1964,Russia,Athletics,Multi-Discipline,
1996,Russia,Rowing,Paddling Sports,Bronze
2000,Russia,Rowing,Paddling Sports,
2000,Uzbekistan,Shooting,Target Sports,
2000,Uzbekistan,Shooting,Target Sports,
2004,Uzbekistan,Shooting,Target Sports,
2004,Uzbekistan,Shooting,Target Sports,
1980,Russia,Swimming,Aquatics,
1980,Russia,Swimming,Aquatics,
1980,Russia,Swimming,Aquatics,
1980,Russia,Swimming,Aquatics,Bronze
2014,Kazakhstan,Luge,Sliding,
2004,Russia,Shooting,Target Sports,
2004,Ukraine,Athletics,Multi-Discipline,
2008,Russia,Volleyball,Team Sports,
1976,Ukraine,Sailing,Water Sports,Silver
1964,Armenia,Basketball,Team Sports,Silver
2002,Russia,Skeleton,Sliding,
1972,Russia,Wrestling,Combat Sports,Silver
1968,Russia,Athletics,Multi-Discipline,
1996,Belarus,Athletics,Multi-Discipline,
1968,Armenia,Wrestling,Combat Sports,
2012,Russia,Weightlifting,Miscellaneous,Bronze
2004,Estonia,Triathlon,Multi-Discipline,
2008,Estonia,Triathlon,Multi-Discipline,
2008,Russia,Wrestling,Combat Sports,Gold
2016,Russia,Wrestling,Combat Sports,
2004,Uzbekistan,Boxing,Combat Sports,
2016,Moldova,Tennis,Racquet Sports,
1960,Russia,Wrestling,Combat Sports,Bronze
2014,Kazakhstan,Freestyle Skiing,Skiing Events,
2008,Ukraine,Wrestling,Combat Sports,
2012,Ukraine,Wrestling,Combat Sports,
1996,Lithuania,Athletics,Multi-Discipline,
2000,Lithuania,Athletics,Multi-Discipline,Gold
2004,Lithuania,Athletics,Multi-Discipline,Gold
2008,Lithuania,Athletics,Multi-Discipline,Bronze
2012,Lithuania,Athletics,Multi-Discipline,
2012,Azerbaijan,Rowing,Paddling Sports,
2016,Azerbaijan,Rowing,Paddling Sports,
1976,Russia,Ice Hockey,Skating,Gold
2012,Kyrgyzstan,Swimming,Aquatics,
1996,Russia,Wrestling,Combat Sports,
1952,Russia,Sailing,Water Sports,
1956,Russia,Sailing,Water Sports,
1964,Russia,Sailing,Water Sports,
1968,Russia,Sailing,Water Sports,
1960,Russia,Rowing,Paddling Sports,
2006,Kazakhstan,Ice Hockey,Skating,
1960,Russia,Ice Hockey,Skating,Bronze
1964,Russia,Ice Hockey,Skating,Gold
1968,Russia,Ice Hockey,Skating,Gold
1984,Russia,Bobsleigh,Sliding,Bronze
1984,Russia,Bobsleigh,Sliding,
1968,Russia,Sailing,Water Sports,
1952,Russia,Athletics,Multi-Discipline,
2006,Russia,Ice Hockey,Skating,
2004,Belarus,Rhythmic Gymnastics,Gymnastics,
2000,Russia,Rowing,Paddling Sports,
1976,Russia,Rowing,Paddling Sports,Silver
1980,Russia,Rowing,Paddling Sports,Gold
2012,Kazakhstan,Fencing,Miscellaneous,
2012,Armenia,Wrestling,Combat Sports,Bronze
2016,Armenia,Wrestling,Combat Sports,Gold
2004,Armenia,Weightlifting,Miscellaneous,
2016,Armenia,Weightlifting,Miscellaneous,
2016,Azerbaijan,Boxing,Combat Sports,
2004,Estonia,Athletics,Multi-Discipline,
2012,Latvia,Cycling,Cycling,
1964,Lithuania,Athletics,Multi-Discipline,
2004,Russia,Boxing,Combat Sports,
1998,Belarus,Ice Hockey,Skating,
2008,Russia,Athletics,Multi-Discipline,
2008,Russia,Athletics,Multi-Discipline,
2012,Russia,Athletics,Multi-Discipline,
1988,Russia,Luge,Sliding,
1996,Russia,Weightlifting,Miscellaneous,
1952,Russia,Sailing,Water Sports,
1956,Russia,Sailing,Water Sports,
1964,Russia,Sailing,Water Sports,
1988,Russia,Swimming,Aquatics,
1996,Russia,Swimming,Aquatics,
1996,Russia,Swimming,Aquatics,
1996,Russia,Swimming,Aquatics,
1972,Russia,Weightlifting,Miscellaneous,Gold
1976,Russia,Weightlifting,Miscellaneous,Gold
1980,Russia,Weightlifting,Miscellaneous,
2012,Kazakhstan,Canoeing,Paddling Sports,
2012,Kazakhstan,Canoeing,Paddling Sports,
2016,Kazakhstan,Canoeing,Paddling Sports,
1964,Russia,Diving,Aquatics,Bronze
1968,Russia,Diving,Aquatics,
2002,Kazakhstan,Ice Hockey,Skating,
1996,Belarus,Diving,Aquatics,
2000,Belarus,Diving,Aquatics,
2012,Belarus,Football,Team Sports,
1912,Russia,Tennis,Racquet Sports,
2002,Armenia,Bobsleigh,Sliding,
2000,Kazakhstan,Water Polo,Team Sports,
1976,Russia,Diving,Aquatics,Bronze
1980,Russia,Diving,Aquatics,Silver
1996,Russia,Shooting,Target Sports,
2000,Russia,Shooting,Target Sports,Bronze
2000,Russia,Shooting,Target Sports,
1976,Russia,Athletics,Multi-Discipline,Bronze
1980,Russia,Athletics,Multi-Discipline,
1996,Moldova,Wrestling,Combat Sports,
2000,Russia,Shooting,Target Sports,Gold
2004,Russia,Shooting,Target Sports,Bronze
1996,Kyrgyzstan,Athletics,Multi-Discipline,
2000,Kyrgyzstan,Athletics,Multi-Discipline,
1980,Russia,Biathlon,Skiing Events,Silver
1980,Russia,Biathlon,Skiing Events,
1980,Russia,Biathlon,Skiing Events,Gold
1996,Uzbekistan,Canoeing,Paddling Sports,
2016,Kazakhstan,Boxing,Combat Sports,
2008,Russia,Volleyball,Team Sports,
2012,Kazakhstan,Fencing,Miscellaneous,
1996,Kazakhstan,Judo,Combat Sports,
1968,Russia,Shooting,Target Sports,
1972,Russia,Shooting,Target Sports,
1976,Russia,Shooting,Target Sports,
2000,Russia,Shooting,Target Sports,
2000,Russia,Shooting,Target Sports,
2004,Russia,Shooting,Target Sports,Gold
2008,Russia,Shooting,Target Sports,Bronze
2012,Russia,Shooting,Target Sports,
2016,Russia,Shooting,Target Sports,
2008,Russia,Rhythmic Gymnastics,Gymnastics,Gold
1960,Russia,Wrestling,Combat Sports,
1964,Russia,Wrestling,Combat Sports,
1968,Russia,Wrestling,Combat Sports,
1992,Russia,Judo,Combat Sports,
2016,Kazakhstan,Trampolining,Gymnastics,
2004,Tajikistan,Wrestling,Combat Sports,
1998,Russia,Alpine Skiing,Skiing Events,
2006,Russia,Alpine Skiing,Skiing Events,
2006,Russia,Alpine Skiing,Skiing Events,
2006,Russia,Alpine Skiing,Skiing Events,
2008,Estonia,Swimming,Aquatics,
2008,Estonia,Swimming,Aquatics,
2004,Estonia,Swimming,Aquatics,
2008,Estonia,Swimming,Aquatics,
2008,Estonia,Swimming,Aquatics,
2008,Estonia,Swimming,Aquatics,
2012,Estonia,Swimming,Aquatics,
2012,Estonia,Swimming,Aquatics,
2016,Azerbaijan,Swimming,Aquatics,
1992,Russia,Short Track Speed Skating,Skating,Bronze
1996,Azerbaijan,Wrestling,Combat Sports,
2000,Azerbaijan,Wrestling,Combat Sports,
1988,Azerbaijan,Wrestling,Combat Sports,
2016,Estonia,Swimming,Aquatics,
1994,Armenia,Bobsleigh,Sliding,
1960,Russia,Ice Hockey,Skating,Bronze
1964,Russia,Ice Hockey,Skating,Gold
2008,Russia,Athletics,Multi-Discipline,
1912,Russia,Modern Pentathlon,Multi-Discipline,
2014,Russia,Alpine Skiing,Skiing Events,
2012,Russia,Boxing,Combat Sports,Bronze
2016,Russia,Boxing,Combat Sports,
1988,Russia,Fencing,Miscellaneous,
1988,Russia,Fencing,Miscellaneous,Silver
1912,Russia,Athletics,Multi-Discipline,
1936,Estonia,Basketball,Team Sports,
2016,Ukraine,Canoeing,Paddling Sports,
1994,Estonia,Nordic Combined,Skiing Events,
1980,Russia,Biathlon,Skiing Events,Bronze
1980,Russia,Biathlon,Skiing Events,Gold
1980,Russia,Biathlon,Skiing Events,Gold
2012,Kazakhstan,Rhythmic Gymnastics,Gymnastics,
1980,Russia,Fencing,Miscellaneous,Gold
2000,Russia,Gymnastics,Gymnastics,
2000,Russia,Gymnastics,Gymnastics,Bronze
2000,Russia,Gymnastics,Gymnastics,
2000,Russia,Gymnastics,Gymnastics,
2000,Russia,Gymnastics,Gymnastics,
2000,Russia,Gymnastics,Gymnastics,
2000,Russia,Gymnastics,Gymnastics,
2000,Russia,Gymnastics,Gymnastics,
2004,Russia,Swimming,Aquatics,
2004,Russia,Swimming,Aquatics,
2006,Russia,Cross Country Skiing,Skiing Events,
2006,Russia,Cross Country Skiing,Skiing Events,
2006,Russia,Cross Country Skiing,Skiing Events,Bronze
2008,Uzbekistan,Tennis,Racquet Sports,
1980,Latvia,Luge,Sliding,Bronze
1984,Latvia,Luge,Sliding,
2016,Georgia,Wrestling,Combat Sports,
2000,Russia,Swimming,Aquatics,
1952,Russia,Rowing,Paddling Sports,Silver
1956,Russia,Rowing,Paddling Sports,
2016,Uzbekistan,Rhythmic Gymnastics,Gymnastics,
2000,Uzbekistan,Athletics,Multi-Discipline,
2004,Uzbekistan,Athletics,Multi-Discipline,
1936,Estonia,Basketball,Team Sports,
1976,Russia,Cross Country Skiing,Skiing Events,
1976,Russia,Cross Country Skiing,Skiing Events,
1976,Russia,Cross Country Skiing,Skiing Events,Gold
2008,Armenia,Wrestling,Combat Sports,Bronze
2004,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
2008,Ukraine,Swimming,Aquatics,
2008,Ukraine,Swimming,Aquatics,
2008,Ukraine,Swimming,Aquatics,
2014,Russia,Short Track Speed Skating,Skating,Gold
2014,Russia,Short Track Speed Skating,Skating,Gold
2014,Russia,Short Track Speed Skating,Skating,Bronze
2014,Russia,Short Track Speed Skating,Skating,Gold
2016,Ukraine,Synchronized Swimming,Aquatics,
2016,Ukraine,Synchronized Swimming,Aquatics,
2016,Kazakhstan,Canoeing,Paddling Sports,
2016,Kazakhstan,Canoeing,Paddling Sports,
2012,Belarus,Athletics,Multi-Discipline,
2010,Russia,Ice Hockey,Skating,
2002,Belarus,Biathlon,Skiing Events,
2006,Belarus,Biathlon,Skiing Events,
2006,Belarus,Biathlon,Skiing Events,
2006,Belarus,Biathlon,Skiing Events,
2000,Belarus,Rhythmic Gymnastics,Gymnastics,Silver
1968,Uzbekistan,Swimming,Aquatics,
2006,Russia,Luge,Sliding,
2012,Russia,Swimming,Aquatics,
1936,Latvia,Basketball,Team Sports,
1976,Russia,Wrestling,Combat Sports,Gold
1980,Russia,Wrestling,Combat Sports,Gold
1972,Ukraine,Athletics,Multi-Discipline,
2006,Latvia,Cross Country Skiing,Skiing Events,
2006,Latvia,Cross Country Skiing,Skiing Events,
2006,Latvia,Cross Country Skiing,Skiing Events,
1952,Russia,Shooting,Target Sports,Bronze
1952,Russia,Shooting,Target Sports,Silver
2004,Russia,Athletics,Multi-Discipline,
2008,Russia,Athletics,Multi-Discipline,
2012,Russia,Athletics,Multi-Discipline,
2004,Russia,Tennis,Racquet Sports,
2004,Russia,Tennis,Racquet Sports,
2008,Russia,Tennis,Racquet Sports,
2008,Russia,Tennis,Racquet Sports,
2008,Uzbekistan,Athletics,Multi-Discipline,
2016,Uzbekistan,Athletics,Multi-Discipline,
2004,Uzbekistan,Athletics,Multi-Discipline,
2008,Uzbekistan,Athletics,Multi-Discipline,
1980,Russia,Football,Team Sports,Bronze
1992,Russia,Swimming,Aquatics,
1992,Russia,Alpine Skiing,Skiing Events,
1992,Russia,Alpine Skiing,Skiing Events,
1992,Russia,Alpine Skiing,Skiing Events,
1968,Russia,Basketball,Team Sports,Bronze
1976,Russia,Alpine Skiing,Skiing Events,
1976,Russia,Alpine Skiing,Skiing Events,
1976,Russia,Alpine Skiing,Skiing Events,
1980,Russia,Alpine Skiing,Skiing Events,
1980,Russia,Alpine Skiing,Skiing Events,
1984,Russia,Alpine Skiing,Skiing Events,
1984,Russia,Alpine Skiing,Skiing Events,
1912,Russia,Fencing,Miscellaneous,
1912,Russia,Fencing,Miscellaneous,
1992,Russia,Athletics,Multi-Discipline,
2000,Russia,Athletics,Multi-Discipline,Bronze
2004,Russia,Athletics,Multi-Discipline,
1952,Russia,Equestrianism,Equestrianism,
1952,Russia,Equestrianism,Equestrianism,
2016,Russia,Swimming,Aquatics,
2008,Russia,Cycling,Cycling,
2012,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2012,Russia,Swimming,Aquatics,
1980,Russia,Alpine Skiing,Skiing Events,
1980,Russia,Alpine Skiing,Skiing Events,
1984,Russia,Alpine Skiing,Skiing Events,
1984,Russia,Alpine Skiing,Skiing Events,
1980,Russia,Volleyball,Team Sports,Gold
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,Silver
1972,Russia,Gymnastics,Gymnastics,Gold
1972,Russia,Gymnastics,Gymnastics,Bronze
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,
1976,Russia,Gymnastics,Gymnastics,Gold
1976,Russia,Gymnastics,Gymnastics,Silver
1976,Russia,Gymnastics,Gymnastics,Gold
1976,Russia,Gymnastics,Gymnastics,Gold
1976,Russia,Gymnastics,Gymnastics,Silver
1976,Russia,Gymnastics,Gymnastics,
1976,Russia,Gymnastics,Gymnastics,Gold
1976,Russia,Gymnastics,Gymnastics,Bronze
1980,Russia,Gymnastics,Gymnastics,Silver
1980,Russia,Gymnastics,Gymnastics,Gold
1980,Russia,Gymnastics,Gymnastics,Silver
1980,Russia,Gymnastics,Gymnastics,Gold
1980,Russia,Gymnastics,Gymnastics,
1980,Russia,Gymnastics,Gymnastics,Bronze
1980,Russia,Gymnastics,Gymnastics,
1980,Russia,Gymnastics,Gymnastics,
1976,Russia,Athletics,Multi-Discipline,
2004,Russia,Athletics,Multi-Discipline,
2008,Russia,Athletics,Multi-Discipline,
1972,Armenia,Football,Team Sports,Bronze
2000,Ukraine,Rowing,Paddling Sports,
2012,Ukraine,Wrestling,Combat Sports,Silver
2016,Ukraine,Wrestling,Combat Sports,
2004,Lithuania,Swimming,Aquatics,
1936,Latvia,Speed Skating,Skating,
1936,Latvia,Speed Skating,Skating,
1936,Latvia,Speed Skating,Skating,
2004,Lithuania,Athletics,Multi-Discipline,
1996,Ukraine,Water Polo,Team Sports,
1998,Belarus,Ice Hockey,Skating,
2002,Belarus,Ice Hockey,Skating,
2004,Russia,Athletics,Multi-Discipline,
1972,Russia,Shooting,Target Sports,
1976,Russia,Shooting,Target Sports,
1956,Russia,Swimming,Aquatics,
1960,Russia,Swimming,Aquatics,
2012,Ukraine,Cycling,Cycling,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2002,Russia,Bobsleigh,Sliding,
1952,Russia,Athletics,Multi-Discipline,
1996,Kyrgyzstan,Swimming,Aquatics,
1996,Kyrgyzstan,Swimming,Aquatics,
2000,Kyrgyzstan,Swimming,Aquatics,
2008,Russia,Handball,Team Sports,Silver
1972,Russia,Boxing,Combat Sports,
2004,Estonia,Tennis,Racquet Sports,
2008,Estonia,Tennis,Racquet Sports,
2008,Estonia,Tennis,Racquet Sports,
1998,Azerbaijan,Figure Skating,Skating,
2012,Kazakhstan,Athletics,Multi-Discipline,
1992,Russia,Rowing,Paddling Sports,
2000,Russia,Water Polo,Team Sports,Bronze
